timestamp,source_service,target_service,requests_per_second
1740685688.0,frontend,adservice,0.0
1740685748.0,frontend,adservice,0.0
1740685808.0,frontend,adservice,0.0
1740685868.0,frontend,adservice,0.0
1740685928.0,frontend,adservice,0.0
1740685688.0,frontend,cartservice,2254.9057312817063
1740685748.0,frontend,cartservice,2498.8199079789747
1740685808.0,frontend,cartservice,2551.35429701644
1740685868.0,frontend,cartservice,2726.2661483274987
1740685928.0,frontend,cartservice,2683.0577922060997
1740685688.0,frontend,checkoutservice,78.37073998465537
1740685748.0,frontend,checkoutservice,86.8481385097136
1740685808.0,frontend,checkoutservice,88.67400594460973
1740685868.0,frontend,checkoutservice,94.75318301581349
1740685928.0,frontend,checkoutservice,93.25144802273697
1740685688.0,frontend,currencyservice,7576.9586911571
1740685748.0,frontend,currencyservice,8396.561752777021
1740685808.0,frontend,currencyservice,8573.088376520087
1740685868.0,frontend,currencyservice,9160.829076094431
1740685928.0,frontend,currencyservice,9015.639889290353
1740685688.0,frontend,productcatalogservice,12262.973544957853
1740685748.0,frontend,productcatalogservice,13589.46496080015
1740685808.0,frontend,productcatalogservice,13875.165517603813
1740685868.0,frontend,productcatalogservice,14826.397924161189
1740685928.0,frontend,productcatalogservice,14591.415627257515
1740685688.0,frontend,recommendationservice,1758.96099949134
1740685748.0,frontend,recommendationservice,1949.2286093881262
1740685808.0,frontend,recommendationservice,1990.208567071981
1740685868.0,frontend,recommendationservice,2126.6502464454697
1740685928.0,frontend,recommendationservice,2092.9451508331254
1740685688.0,frontend,shippingservice,552.5409842244512
1740685748.0,frontend,shippingservice,612.3095933458621
1740685808.0,frontend,shippingservice,625.1825940313017
1740685868.0,frontend,shippingservice,668.0429074959355
1740685928.0,frontend,shippingservice,657.4551532999019
1740685688.0,checkoutservice,cartservice,100.80565992457775
1740685748.0,checkoutservice,cartservice,93.36838755364923
1740685808.0,checkoutservice,cartservice,108.458681378925
1740685868.0,checkoutservice,cartservice,132.52390471065436
1740685928.0,checkoutservice,cartservice,147.68667454004685
1740685688.0,checkoutservice,currencyservice,216.32970219507044
1740685748.0,checkoutservice,currencyservice,200.36925991087364
1740685808.0,checkoutservice,currencyservice,232.7531436303045
1740685868.0,checkoutservice,currencyservice,284.3972933785031
1740685928.0,checkoutservice,currencyservice,316.93671114630575
1740685688.0,checkoutservice,emailservice,52.923350226877396
1740685748.0,checkoutservice,emailservice,49.01875428738528
1740685808.0,checkoutservice,emailservice,56.94121524581841
1740685868.0,checkoutservice,emailservice,69.57554791747637
1740685928.0,checkoutservice,emailservice,77.53605905039163
1740685688.0,checkoutservice,paymentservice,50.80623015532415
1740685748.0,checkoutservice,paymentservice,47.05783178078902
1740685808.0,checkoutservice,paymentservice,54.663366447910434
1740685868.0,checkoutservice,paymentservice,66.79228139421313
1740685928.0,checkoutservice,paymentservice,74.43434409506449
1740685688.0,checkoutservice,productcatalogservice,170.16054860678614
1740685748.0,checkoutservice,productcatalogservice,157.60638897207758
1740685808.0,checkoutservice,productcatalogservice,183.07889396701253
1740685868.0,checkoutservice,productcatalogservice,223.70113291208486
1740685928.0,checkoutservice,productcatalogservice,249.29597782950592
1740685688.0,checkoutservice,shippingservice,109.47491613452202
1740685748.0,checkoutservice,shippingservice,101.39804059314692
1740685808.0,checkoutservice,shippingservice,117.78609511511904
1740685868.0,checkoutservice,shippingservice,143.9209203617447
1740685928.0,checkoutservice,shippingservice,160.38768380222777
1740685688.0,recommendationservice,productcatalogservice,655.6286044224173
1740685748.0,recommendationservice,productcatalogservice,650.2331084120003
1740685808.0,recommendationservice,productcatalogservice,717.4835164110862
1740685868.0,recommendationservice,productcatalogservice,853.5437303815592
1740685928.0,recommendationservice,productcatalogservice,871.5788634015547
